positivas,negativas,total,pos_periodo,neg_periodo,tot_periodo,tempo_id,servico_id
2688,557,3245,2688,557,3245,1,1
9,1,10,9,1,10,1,2
8,3,11,8,3,11,1,3
85,30,115,85,30,115,1,4
94,47,141,94,47,141,1,5
20,20,40,20,20,40,1,6
24,13,37,24,13,37,1,7
120,34,154,120,34,154,1,8
18,3,21,18,3,21,1,9
15,3,18,15,3,18,1,10
673,360,1033,673,360,1033,1,11
205,102,307,205,102,307,1,12
1279,1354,2633,1279,1354,2633,1,13
2005,1149,3154,2005,1149,3154,1,14
5201,5651,10852,5201,5651,10852,1,15
2623,1410,4033,2623,1410,4033,1,16
5990,4294,10284,5990,4294,10284,1,17
2850,1550,4400,2850,1550,4400,1,18
1897,1162,3059,1897,1162,3059,1,19
48488,30930,79418,48488,30930,79418,1,20
23694,12140,35834,23694,12140,35834,1,21
24796,12415,37211,24796,12415,37211,1,22
850,1170,2020,850,1170,2020,1,23
970,203,1173,970,203,1173,1,24
27,14,41,27,14,41,1,25
18,9,27,18,9,27,1,26
441,898,1339,441,898,1339,1,27
37,10,47,37,10,47,1,28
38,49,87,38,49,87,1,29
45,39,84,45,39,84,1,30
303,200,503,303,200,503,1,31
8,4,12,8,4,12,1,32
13,3,16,13,3,16,1,33
17,13,30,17,13,30,1,34
152,371,523,152,371,523,1,35
98,47,145,98,47,145,1,36
2887,1164,4051,2887,1164,4051,1,37
23,6,29,23,6,29,1,38
486,302,788,486,302,788,1,39
337,113,450,337,113,450,1,40
38,10,48,38,10,48,1,41
1550,1794,3344,1550,1794,3344,1,42
15,0,15,15,0,15,1,43
5,1,6,5,1,6,1,44
44,19,63,44,19,63,1,45
114,46,160,114,46,160,1,46
15,11,26,15,11,26,1,47
18609,9009,27618,18609,9009,27618,1,48
1203,869,2072,1203,869,2072,1,49
7,9,16,7,9,16,1,50
15,19,34,15,19,34,1,51
63,42,105,63,42,105,1,52
197,78,275,197,78,275,1,53
239,198,437,239,198,437,1,54
75,138,213,75,138,213,1,55
114,143,257,114,143,257,1,56
237,412,649,237,412,649,1,57
483,237,720,483,237,720,1,58
690,249,939,690,249,939,1,59
275,231,506,275,231,506,1,60
586,505,1091,586,505,1091,1,61
440,254,694,440,254,694,1,62
162,53,215,162,53,215,1,63
15,6,21,15,6,21,1,64
15,13,28,15,13,28,1,65
261,243,504,261,243,504,1,66
5069,3273,8342,5069,3273,8342,1,67
6345,9929,16274,6345,9929,16274,1,68
23,5,28,23,5,28,1,69
5,2,7,5,2,7,1,70
40,5,45,40,5,45,1,71
1,6,7,1,6,7,1,72
566,949,1515,566,949,1515,1,73
22,3,25,22,3,25,1,74
129,158,287,129,158,287,1,75
71,298,369,71,298,369,1,76
311,198,509,311,198,509,1,77
109,241,350,109,241,350,1,78
36,53,89,36,53,89,1,79
6,2,8,6,2,8,1,80
51,10,61,51,10,61,1,81
2,1,3,2,1,3,1,82
9,2,11,9,2,11,1,83
5,3,8,5,3,8,1,84
1,3,4,1,3,4,1,85
0,0,0,0,0,0,1,86
4,2,6,4,2,6,1,87
5,6,11,5,6,11,1,88
57,43,100,57,43,100,1,89
59,25,84,59,25,84,1,90
79,41,120,79,41,120,1,91
30,14,44,30,14,44,1,92
8,2,10,8,2,10,1,93
56,49,105,56,49,105,1,94
14,9,23,14,9,23,1,95
23,30,53,23,30,53,1,96
4,3,7,4,3,7,1,97
7,1,8,7,1,8,1,98
0,3,3,0,3,3,1,99
126904,40639,167543,126904,40639,167543,1,100
224,29,253,224,29,253,1,101
26,9,35,26,9,35,1,102
4,3,7,4,3,7,1,103
14,3,17,14,3,17,1,104
52,9,61,52,9,61,1,105
499,314,813,499,314,813,1,106
103,80,183,103,80,183,1,107
174,52,226,174,52,226,1,108
140,83,223,140,83,223,1,109
227,382,609,227,382,609,1,110
2,4,6,2,4,6,1,111
68,15,83,68,15,83,1,112
78,88,166,78,88,166,1,113
36,40,76,36,40,76,1,114
53,15,68,53,15,68,1,115
13,14,27,13,14,27,1,116
4,1,5,4,1,5,1,117
39,17,56,39,17,56,1,118
3,1,4,3,1,4,1,119
1,2,3,1,2,3,1,120
3,3,6,3,3,6,1,121
3,5,8,3,5,8,1,122
1641,402,2043,1641,402,2043,1,123
788,1093,1881,788,1093,1881,1,124
15,19,34,15,19,34,1,125
460,1007,1467,460,1007,1467,1,126
68,56,124,68,56,124,1,127
542,768,1310,542,768,1310,1,128
12,4,16,12,4,16,1,129
13,5,18,13,5,18,1,130
112,70,182,112,70,182,1,131
15,16,31,15,16,31,1,132
93,54,147,93,54,147,1,133
24280,24987,49267,24280,24987,49267,1,134
85,63,148,85,63,148,1,135
333,150,483,333,150,483,1,136
12,9,21,12,9,21,1,137
5,8,13,5,8,13,1,138
325,99,424,325,99,424,1,139
59,71,130,59,71,130,1,140
31,5,36,31,5,36,1,141
10,39,49,10,39,49,1,142
125,23,148,125,23,148,1,143
33,6,39,33,6,39,1,144
111,72,183,111,72,183,1,145
176,145,321,176,145,321,1,146
24781,25057,49838,24781,25057,49838,1,147
23,22,45,23,22,45,1,148
27,60,87,27,60,87,1,149
14,14,28,14,14,28,1,150
53,13,66,53,13,66,1,151
261,156,417,261,156,417,1,152
27,6,33,27,6,33,1,153
61,35,96,61,35,96,1,154
6,3,9,6,3,9,1,155
55,1,56,55,1,56,1,156
36,73,109,36,73,109,1,157
1005,728,1733,1005,728,1733,1,158
27,4,31,27,4,31,1,159
56,10,66,56,10,66,1,160
359,521,880,359,521,880,1,161
49,13,62,49,13,62,1,162
3,6,9,3,6,9,1,163
6,1,7,6,1,7,1,164
6,9,15,6,9,15,1,165
2,5,7,2,5,7,1,166
15,6,21,15,6,21,1,167
7,6,13,7,6,13,1,168
141,229,370,141,229,370,1,169
17,23,40,17,23,40,1,170
42,145,187,42,145,187,1,171
13,6,19,13,6,19,1,172
25,4,29,25,4,29,1,173
21,8,29,21,8,29,1,174
114,165,279,114,165,279,1,175
41,18,59,41,18,59,1,176
98,47,145,98,47,145,1,177
10,34,44,10,34,44,1,178
31,35,66,31,35,66,1,179
505,1060,1565,505,1060,1565,1,180
110,169,279,110,169,279,1,181
161,175,336,161,175,336,1,182
13,6,19,13,6,19,1,183
1173,4503,5676,1173,4503,5676,1,184
38,152,190,38,152,190,1,185
312,37,349,312,37,349,1,186
285,22,307,285,22,307,1,187
64,108,172,64,108,172,1,188
92,36,128,92,36,128,1,189
63,33,96,63,33,96,1,190
14,9,23,14,9,23,1,191
140,49,189,140,49,189,1,192
911,1659,2570,911,1659,2570,1,193
31,9,40,31,9,40,1,194
15,5,20,15,5,20,1,195
41,6,47,41,6,47,1,196
8,2,10,8,2,10,1,197
16,6,22,16,6,22,1,198
22,12,34,22,12,34,1,199
73,19,92,73,19,92,1,200
12463,13665,26128,12463,13665,26128,1,201
16,6,22,16,6,22,1,202
42,13,55,42,13,55,1,203
9,0,9,9,0,9,1,204
398,369,767,398,369,767,1,205
38,65,103,38,65,103,1,206
32,12,44,32,12,44,1,207
3359,768,4127,3359,768,4127,1,208
14,3,17,14,3,17,1,209
3,0,3,3,0,3,1,210
43,17,60,43,17,60,1,211
52,55,107,52,55,107,1,212
21,5,26,21,5,26,1,213
38,12,50,38,12,50,1,214
8,15,23,8,15,23,1,215
12,7,19,12,7,19,1,216
13,7,20,13,7,20,1,217
10,5,15,10,5,15,1,218
17,0,17,17,0,17,1,219
10,8,18,10,8,18,1,220
60,241,301,60,241,301,1,221
82,40,122,82,40,122,1,222
423,126,549,423,126,549,1,223
187,78,265,187,78,265,1,224
9,3,12,9,3,12,1,225
9,1,10,9,1,10,1,226
10,9,19,10,9,19,1,227
202,34,236,202,34,236,1,228
548,23,571,548,23,571,1,229
154,27,181,154,27,181,1,230
175,15,190,175,15,190,1,231
9,0,9,9,0,9,1,232
103,79,182,103,79,182,1,233
13,5,18,13,5,18,1,234
39,16,55,39,16,55,1,235
157,882,1039,157,882,1039,1,236
284,311,595,284,311,595,1,237
44,340,384,44,340,384,1,238
29,118,147,29,118,147,1,239
23,118,141,23,118,141,1,240
54,30,84,54,30,84,1,241
106,134,240,106,134,240,1,242
4,3,7,4,3,7,1,243
53,13,66,53,13,66,1,244
35,31,66,35,31,66,1,245
5,4,9,5,4,9,1,246
3,0,3,3,0,3,1,247
24,5,29,24,5,29,1,248
4,3,7,4,3,7,1,249
8,15,23,8,15,23,1,250
6,4,10,6,4,10,1,251
14,13,27,14,13,27,1,252
5,9,14,5,9,14,1,253
2,14,16,2,14,16,1,254
4,1,5,4,1,5,1,255
2,1,3,2,1,3,1,256
5,0,5,5,0,5,1,257
3,3,6,3,3,6,1,258
1,0,1,1,0,1,1,259
1,2,3,1,2,3,1,260
1,1,2,1,1,2,1,261
17,18,35,17,18,35,1,262
