api_id,nome,status,orgao_id
4,Naturalizar-se Brasileiro - Naturalização Ordinária,Mantido,113
7,Solicitar aprovação para ato de concentração econômica sob o procedimento sumário,Mantido,55
8,Negociar termo do compromisso de cessação de prática anticompetitiva,Mantido,55
9,Denunciar Infrações à Ordem Econômica,Mantido,55
14,Obter Declaração de Domínio de Imóvel da União,Mantido,5
22,Conferir Autenticidade de Certidões de Imóveis da União,Mantido,5
31,Alterar Regime ou Contrato de Utilização de Imóvel da União,Mantido,5
36,Regularizar Utilização de Imóvel da União,Mantido,5
37,Obter Imóvel da União para Uso da Administração Pública Federal e Entidades Sem Fins Lucrativos,Mantido,5
38,Obter Permissão de Uso para Eventos em Imóvel da União,Mantido,5
39,Transferir o Responsável pelo Imóvel no Cadastro da SPU,Mantido,5
43,Consultar posição em lista de espera - Transplante de órgãos e córneas,Mantido,44
46,Solicitar Aposentadoria por Tempo de Contribuição.,Mantido,16
47,Solicitar Aposentadoria por Idade (Trabalhador Urbano),Mantido,16
52,Registrar Comunicação de Acidente de Trabalho - CAT,Mantido,16
53,Solicitar Salário-Maternidade Urbano,Mantido,16
55,Serviço Militar Obrigatório: Alistamento$§ Seleção Geral$§ Seleção Complementar e Incorporação,Mantido,101
56,Obter financiamento FIES,Mantido,10
57,Obter bolsa de estudo do ProUni,Mantido,10
60,Obter a Carteira de Trabalho,Mantido,57
61,Sacar o FGTS,Mantido,57
62,Obter Passaporte,Mantido,31
63,Substituir Carteira de Registro Nacional Migratório,Mantido,31
64,Comunicar furto ou roubo de veículos à PRF (Sistema Nacional de Alarmes - SINAL),Mantido,23
65,Manifestar interesse na continuidade do serviço em tecnologia digital,Mantido,90
69,Obter autorização de uso de imagens e vídeos da EMBRATUR,Mantido,162
74,DNIT - Apresentar Formulário de Identificação do Condutor Infrator (Transferência de Pontuação),Mantido,36
83,Cadastrar-se no Site e App Turismo Acessível,Mantido,8
89,Emitir certidão negativa de administração de instituição em liquidação,Mantido,41
117,Registrar Declaração de Acidente de Trânsito - DAT (Condutor),Mantido,23
